Date,Open,High,Low,Close,Adj Close,Volume
2008-11-05,24.110001,24.350000,21.559999,21.750000,19.653364,88416800
2008-11-06,21.620001,22.309999,19.959999,20.120001,18.180492,118548800
2008-11-07,20.440001,20.740000,19.950001,20.490000,18.514824,82003200
2008-11-10,21.049999,21.139999,19.049999,19.480000,17.602194,79599800
2008-11-11,19.150000,19.330000,18.250000,18.690001,16.888346,103837200
2008-11-12,18.350000,18.840000,17.000000,17.000000,15.361254,101948600
2008-11-13,17.160000,17.400000,14.880000,17.100000,15.451613,197772100
2008-11-14,16.840000,18.040001,16.200001,16.420000,14.837164,124550600
2008-11-17,16.209999,16.280001,14.980000,15.030000,13.581157,130129600
2008-11-18,15.170000,15.720000,14.540000,15.190000,13.725733,149127600
2008-11-19,14.810000,14.980000,12.930000,13.060000,11.801058,173059700
2008-11-20,12.810000,13.240000,11.000000,11.250000,10.165538,196136500
2008-11-21,12.080000,12.160000,10.010000,11.470000,10.364330,229691500
2008-11-24,12.590000,14.850000,12.430000,14.590000,13.183569,197880500
2008-11-25,15.230000,15.500000,13.910000,14.800000,13.373325,145943000
2008-11-26,14.320000,15.460000,13.750000,15.430000,13.942599,118890800
2008-11-28,15.430000,16.389999,15.410000,16.250000,14.683551,52660100
2008-12-01,15.590000,15.600000,12.770000,12.850000,11.611301,127347400
2008-12-02,13.460000,14.690000,12.910000,14.370000,12.984776,136087200
2008-12-03,13.700000,15.180000,13.390000,15.050000,13.908959,128501000
2008-12-04,14.740000,15.360000,13.930000,14.340000,13.252791,107562100
2008-12-05,13.900000,15.460000,13.750000,15.240000,14.084555,140156600
2008-12-08,16.190001,18.000000,16.049999,17.840000,16.487438,164101500
2008-12-09,17.400000,17.940001,16.900000,16.950001,15.664908,116333600
2008-12-10,17.270000,17.360001,16.049999,16.690001,15.424630,88454000
2008-12-11,16.330000,16.370001,14.830000,14.910000,13.779573,107442900
2008-12-12,14.110000,15.090000,13.900000,14.930000,13.798059,119512500
2008-12-15,15.050000,15.100000,13.900000,14.110000,13.040227,81959400
2008-12-16,14.180000,15.200000,13.510000,15.100000,13.955170,183131000
2008-12-17,14.820000,15.390000,14.500000,14.620000,13.511563,96214400
2008-12-18,14.850000,15.110000,13.910000,13.960000,12.901600,102574800
2008-12-19,14.070000,14.370000,13.600000,13.800000,12.753733,104069400
2008-12-22,13.900000,14.010000,13.210000,13.530000,12.504199,72654800
2008-12-23,13.430000,13.580000,12.720000,12.750000,11.783335,68454600
2008-12-24,12.750000,13.560000,12.740000,13.530000,12.504199,38022300
2008-12-26,13.660000,13.800000,13.290000,13.360000,12.347091,43646200
2008-12-29,13.570000,13.730000,12.680000,12.940000,11.958935,62741300
2008-12-30,13.090000,13.240000,12.660000,13.240000,12.236187,72897800
2008-12-31,13.090000,14.120000,13.000000,14.080000,13.012504,113351000
2009-01-02,13.920000,14.570000,13.710000,14.330000,13.243549,86580700
